qty,component,specification,unit_price_brl,notes
1,MCU,Waveshare ESP32-S3-Zero,35.00,USB-C onboard
1,Sensor NTC,NTC 100K B3950 encapsulado vidro,5.00,Montar no eixo do motor
1,Rele,Songle SLA-24VDC-SL-C SPDT 30A,18.00,Usar contato NC (fail-safe)
2,Buck LM2596,Step-down 3A ajustavel,8.00,#1: 24V->12V | #2: 12V->5V
1,Buck Mini-360 (opcional),Step-down compacto,5.00,Alternativa ao LM2596 #2
2,MOSFET driver,IRLZ44N N-MOSFET logic-level,3.00,#1: fan PWM | #2: bobina rele
2,Resistor Gate,220 ohm 1/4W,0.20,Em serie com Gate (x2)
2,Resistor Pull-down,10k ohm 1/4W,0.20,Gate->GND (x2)
1,Fan,12V PWM 120mm 4-pin,35.00,Arctic P12 ou similar
1,LED WS2812B,Avulso ou strip (1 a 5+ LEDs),5.00,Configuravel via LED_COUNT
1,Resistor NTC,100k ohm 1% metal film,0.50,Divisor com NTC
1,Capacitor filtro,100nF ceramico,0.50,Entre GPIO 1 e GND
1,Diodo flyback,1N4007,0.50,Antiparalelo na bobina do rele
1,Conectores,JST-XH variados + terminais ring,10.00,Para conexoes modulares
1,Caixa,Impressa 3D ou PVC,10.00,Ventilacao e fixacao
